2017/W
2017-11-02 08:36:18
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
전선;사회학과;2학년;M1304.000600;001;동아시아 사회변동 현장연구;3;월(4-3)/수(4-3)/금(4-3);016-106/016-106/016-106;정근식;20;0;별도수강신청(사회학과 홈페이지 참고);;;
전선;;2학년;M2173.000400;001;융합자연과학 II;3;월(1-3)/수(1-3)/금(1-3);500-L310/500-L310/500-L310;김희준;40;27;;;;
전선;전기·정보공학부;2학년;M2177.003200;001;융합공학도를 위한 전기전자회로 및 실험;3;월(5-2)/월(7-2)/수(5-2)/수(7-2)/금(5-2)/금(7-2);301-201/301-310/301-201/301-310/301-201/301-310;김용권;40;11;®초안지 및 수강신청 관련 안내 공지 필독 (http://ece.snu.ac.kr/community/notice/sugang);;;
전선;치의학과(치의학학사과정);3학년;M2839.001800;001;치의과학 논문연구 2;2;;;정지훈;10;0;;;;
전선;행정학과(글로벌행정전공);석사;M2856.000200;001;통계분석;3;월(1.5-2.0)/월(3.5-2.0)/수(1.5-2.0)/수(3.5-2.0)/금(1.5-2.0)/금(3.5-2.0);057-1-B204/057-1-B204/057-1-B204/057-1-B204/057-1-B204/057-1-B204;고길곤;30;10;ⓔ;;;
전선;;석사;M2866.002500;001;그린에코공학인턴십;3;;;서교;5;0;ⓔ;;;
전선;;석사;M2868.006400;001;종자생명기술 인턴십;3;;;김주곤;10;0;ⓔ;;;
전선;;석사;M2868.006600;001;국제농업개발협력 인턴십;3;;;김태윤;10;0;ⓔ;;;
전선;응용공학과;석사;M2902.000200;001;공학자를 위한 글로벌 프로젝트 매니지먼트;3;수(5-3);038-428;박창우;30;2;ⓔ®수업시간은 반드시 강의계획서 확인 요망, 학부생 수강 불가;;;
교직;교육학과;2학년;T1831.000300;001;생활지도 및 상담;2;화(4-3)/목(4-3);010-110/010-110;조애리;40;40;;;;
교직;교육학과;3학년;T2184.000200;001;학교폭력예방 및 학생의 이해;2;화(1-3)/목(1-3);010-110/010-110;김명섭;30;30;;;;
